date,open,high,low,close,volume
2025-07-01,6187.25,6210.78,6177.97,6198.01,6275310000
2025-07-02,6193.88,6227.6,6188.29,6227.42,5645710000
2025-07-03,6246.46,6284.65,6246.46,6279.35,3378110000
2025-07-07,6259.04,6262.07,6201.0,6229.98,5236740000
2025-07-08,6234.03,6242.7,6217.75,6225.52,5739030000
2025-07-09,6243.33,6269.16,6231.43,6263.26,4813340000
2025-07-10,6266.8,6290.22,6251.44,6280.46,5367350000
2025-07-11,6255.68,6269.44,6237.6,6259.75,4656210000
2025-07-14,6255.15,6273.31,6239.22,6268.56,4722250000
2025-07-15,6295.29,6302.04,6241.68,6243.76,5133670000
2025-07-16,6254.5,6268.12,6201.59,6263.7,5177460000
2025-07-17,6263.4,6304.69,6262.27,6297.36,5512290000
2025-07-18,6312.95,6315.61,6285.27,6296.79,5184700000
2025-07-21,6304.74,6336.08,6303.79,6305.6,5010840000
2025-07-22,6306.6,6316.12,6281.71,6309.62,5662040000
2025-07-23,6326.9,6360.64,6317.49,6358.91,5642510000
2025-07-24,6368.6,6381.31,6360.57,6363.35,5282720000
2025-07-25,6370.01,6395.82,6368.53,6388.64,4470720000
2025-07-28,6397.69,6401.07,6375.79,6389.77,4565620000
2025-07-29,6405.62,6409.26,6363.92,6370.86,5076120000
2025-07-30,6381.23,6396.54,6336.38,6362.9,5375070000
2025-07-31,6427.02,6427.02,6327.64,6339.39,6077080000
2025-08-01,6287.28,6287.28,6212.69,6238.01,5827150000
2025-08-04,6271.71,6330.69,6271.71,6329.94,4842580000
2025-08-05,6336.63,6346.0,6289.37,6299.19,5517410000
2025-08-06,6309.3,6352.83,6301.11,6345.06,5408560000
2025-08-07,6374.32,6389.71,6310.32,6340.0,5306090000
2025-08-08,6355.22,6395.16,6355.22,6389.45,4769910000
2025-08-11,6389.67,6407.25,6364.06,6373.45,4652400000
2025-08-12,6395.17,6446.55,6385.76,6445.76,5135300000
2025-08-13,6462.67,6480.28,6445.02,6466.58,5195950000
2025-08-14,6453.46,6473.92,6441.07,6468.54,4462050000
2025-08-15,6477.38,6481.34,6441.85,6449.8,4575060000
2025-08-18,6445.02,6455.35,6437.7,6449.15,4162290000
2025-08-19,6446.24,6456.48,6400.22,6411.37,4377440000
2025-08-20,6406.62,6408.4,6343.86,6395.78,4470390000
2025-08-21,6380.83,6393.65,6352.71,6370.17,4013560000
2025-08-22,6384.59,6478.89,6384.59,6466.91,5046860000
2025-08-25,6457.67,6466.89,6438.06,6439.32,4059070000
2025-08-26,6435.49,6468.37,6429.21,6465.94,4867680000
2025-08-27,6462.26,6487.06,6457.84,6481.4,4143680000
